ticker
MSFT
GOOGL
STLAM
TSCO
AIR
DTG
SHEL
JNJ
TMPV
REP
RR
BARC
TTE
PSX
F
XOM
AZN
IAG
RYA
GALP
VLO
EZJ
BMY
ENGI
REGN
GS
TKA
GSK
BAX
FRVIA
EVK
7201
OMV
005380
000270
ENI
VOD
PCAR
BP
MBG
AMZN
RNO
RO
BAS
RACE
PKN
SAN
DRX
ML
UCB
MOL
MT
051910
ENEL
VOE
OUT1V
NDA
TATASTEEL
LKOH
BMW
RWE
SSE
LYB
DIS
HINDALCO
COP
MRK
6501
NESN
BA
5401
IVG
SSAB
APAM
AKE
SRG
DGE
STMPA
EBK
01113
FCX
DOW
SAF
UU
LHA
VIE
ULVR
VOLV
SRP
7203
JBS
600309
BG
7269
4502
BAB
ABBV
ABI
AI
MQG
TAP
PM
AF
IRE
BOL
CON
HBR
HOLN
CSTM
MHK
BILL
ICEAIR
GEKTERNA
600690
7267
SDZ
DG
MTO
LIN
2502
6702
WIE
FGR
HEI
ELPE
CLN
STERV
TELIA
MRO
LLY
SGO
002745
SW
BON
CNA
RUI
BRKB
GEHC
SYENS
ATT
ELUX
YAR
SKF
ESSITY
LIGHT
MAS
EOAN
UPM
EDP
DHL
CMC
ENQ
CVX
KMB
RI
1605
CE
5333
A2A
OI
PIRC
EN
VIO
5201
MNDI
161390
OEC
8604
ALLEI
SAP
TUI1
ENPG
BN
KRZ
ENG
EQIX
GT
ENT
SK
META
GLEN
5108
ACX
SIE
VNTRF
VID
IOSP
SCA
002380
4901
BZU
ERA
IBE
NOV
CSNA3
CG
IFF
ORK
ALTR
SOLB
SNG
SEB
WIZZ
MERC
NAS
TEVA
VK
4208
STP
HUH1V
IP
CBRE
CRDA
ETEX
4188
MMM
NEMAKA
1023
ORA
BRG
2445
APD
FRE
ADM
OLN
CAT
2802
NOMD
ALB
5285
RAIN
POST
IBM
ROCK
PEP
APO
ELK
RXT
WFG
TATYY
FORT
FMC
ELAN
AES
LMT
DSFIR
ENC
CMCSA
TROX
4118
NTGY
CMO
SQZ
JHX
INGR
NHY
GRNG
GXI
4114
CCR
CZG
KKR
5202
9433
4452
POS
NXR
TUB
SRC
UCG
ICL
TRG
GBLB
DLR
LUND
SKA
BREE
CORD
TSE
IBST
HNI
KGH
FME
BAYN
APN
3405
MDLZ
LNZ
OC
TMO
WRT1V
NSKOG
FORN
CBT
CNQ
HAIN
2264
KHC
SFZN
NUF
3402
IBG
VIB3
MAGN
HON
VCP
600745
MTLN
CSL
6988
AMCR
VSVS
600567
SYNT
BKR
5101
JBFIND
CRBN
4004
4063
MTB
LXS
BINANIIND
6471
ENR
VIS
MSLH
3861
ALPEKA
02269
RYAM
KEMIRA
OPUS
NGVT
BNP
APOLLOTYRE
XFAB
CXT
CC
MS
3401
ISCTR
DAR
2811
EMN
GLW
MNG
LW
CVC
3863
TATACHEM
MUX
DINO
PEAB
6339
FTE
SDF
BFSA
LION
4631
STR
034730
AKZA
SON
9432
600021
PG
ABBN
TITC
CAE
GEBN
MBB
MBH
8086
5214
ASH
EAF
8306
ABT
KDP
NWL
502219
MGAM
RKT
GRG1L
CTVA
5351
OHLA
KRX
AC5
MCM
F34
SAHOL
DELG
FSKRS
IRM
ENOG
4634
AMG
MTX
000887
8058
EREGL
MYD
ACS
INA
SFP1
SEIT
5802
BOR
NPI
ICE
AJBU
BERA
HUN
RAIVV
000210
4613
BLK
COA
LONG
7129
AMP
UNT
GSJ
AR4
DDJH
VET
3IN
BTH
7887
TEF
COFA
BMC
ARION
SZG
SY1
1295
C
MOTHERSUMI
NXPI
BAMNB
RIO
NESTE
LBTYA
NCC
HARB
MATV
FOSL
5711
MG
CNH
PFE
INTC
BATS
LEG
UBSG
FCC
VRLA
IMC
MMK
NK
ATC
TPLP
VPK
ALR
RY8
VOW
VOLCAR
ORSTED
PGE
1COV
373220
ELE
TESB
ENA
TPE
FORTUM
EQNR
JSW
AGR
NAE
2587
2HRA
CENER
NVG
COG
ITH
IGN1L
METSB
CEZ
VER
603876
HEIA
EVN
SEM
KGN
VETN
RUAL
STW5
FLUX
RROS
ALBI
AKO1L
BRS
ACE
DUNI
COBH
ZV
RABA
FILA
361610
AURE
PST
MVV1
HEN3
ALTEO
ST5
RAT
VAF
LWB
CTS1L
NGAZ
HOLM
PAH3
BTR
P911
SIX2
AAK
RR 
BP 
BA 
SSAB A
UU 
VOLV B
ELUX B
SKF B
ESSITY A
SCA B
SEB A
ROCK B
LUND B
SKA B
PEAB B
NCC B
HARB B
VOLCAR B
HOLM B
RR.
BP.
BA.
SSAB.A
UU.
VOLV.B
ELUX.B
SKF.B
ESSITY.A
SCA.B
SEB.A
ROCK.B
LUND.B
SKA.B
PEAB.B
NCC.B
HARB.B
VOLCAR.B
HOLM.B
