owner_name,owner_bvd_id_number,owner_country
HARTMANN PACKAGING A/S,DK63049611,DK
ALLIANCE BOOTS HOLDINGS LIMITED,GB04452715,GB
NEXE D.D.,HR62612424147,HR
"AG, DRUZBA ZA INVESTICIJE, D.O.O.",SI5376394,SI
ROLLS-ROYCE GROUP LIMITED,GB04706930,GB
DEVEAUX SAS,FR725780977,FR
ZELEZIARNE PODBREZOVA A.S. SKRATENE ZP A.S.,SK31562141,SK
2VALORISE,BE0876488436,BE
ALKANE ENERGY LIMITED,GB02966946,GB
CEMEX INVESTMENTS LIMITED,GB00249776,GB
KONINKLIJKE GROLSCH N.V.,NL06023267,NL
AEROVIAS DEL CONTINENTE AMERICANO S A AVIANCA,CO8901005776,CO
MARAZZI GROUP S.R.L.,IT00611410374,IT
ORANJEWOUD N.V.,NL29030061,NL
GERRESHEIMER GLAS GMBH,DE5050000640,DE
PILKINGTON DEUTSCHLAND AG,DE4090000190,DE
PCF GMBH,DE8190397513,DE
EEW ENERGY FROM WASTE GMBH,DE2030002431,DE
UBS AG,CHCHE101329561,CH
